Language,Users,New Users
en-us,9705,9492
en-gb,4565,4463
en-in,3815,3788
fr-fr,516,513
zh-cn,512,510
de-de,318,317
c,205,205
nl-nl,204,202
es-es,188,186
it-it,158,155
en,153,147
fr,122,121
es-419,114,115
en-au,111,111
ja,110,109
en-ca,106,106
pt-br,102,101
ru,96,96
de,87,85
ru-ru,82,82
vi-vn,78,77
tr-tr,65,64
pt-pt,63,63
es,59,58
zh-tw,57,57
pl-pl,56,56
ko-kr,56,56
nl,51,51
en-sg,49,49
th-th,47,47
es-mx,42,41
da-dk,37,37
it,36,36
sv-se,34,34
he-il,34,35
ko,30,30
el-gr,29,28
id-id,23,23
th,22,21
es-us,21,21
ar,20,20
hu-hu,20,19
id,20,20
nb-no,19,19
vi,18,18
pl,18,18
fr-ca,17,17
nl-be,16,16
cs-cz,16,17
tr,15,15
hr-hr,13,13
de-ch,12,13
el,11,11
he,10,10
hr,9,9
ar-eg,9,9
fr-ch,8,8
ja-jp,7,7
ro-ro,7,7
hi,7,7
hu,7,7
hi-in,7,6
bg-bg,7,7
da,6,6
zh-hk,6,6
cs,6,6
uk-ua,6,6
fr-be,5,5
en-ph,5,5
nb,4,4
fi-fi,4,4
bg,4,4
(not set),4,4
zh,3,3
mr-in,3,3
sr-rs,3,3
es-pe,3,3
lv,3,3
ca,3,3
en-nz,3,3
lt,3,3
en-ie,3,3
es-co,3,3
sv,3,3
sr,3,3
ca-es,3,3
en-th,2,2
is,2,2
en-za,2,2
sl,2,2
en-ch,2,2
sl-si,2,2
es-ar,2,2
pa,2,2
az-az,2,2
en-gb-oxendict,2,2
ar-ae,2,2
zh-tw-CN,2,2
ti,1,1
en-TV,1,1
en-hr,1,1
en-cy,1,1
ro-gb,1,1
en-qa,1,1
en-DE,1,1
ar-ye,1,1
en-be,1,1
et-ee,1,1
fil-ph,1,1
my-MM,1,1
en-at,1,1
en-GB,1,1
et,1,1
ka,1,1
km-kh,1,1
en-ES,1,1
es-py,1,1
en-de,1,1
sv-FI,1,1
en-HK,1,1
el-CY,1,1
en-MS,1,1
ne,1,0
ar-LB,1,1
th-TH,1,1
en-HU,1,1
fr-ML,1,1
en-VI,1,1
en-dk,1,1
lv-lv,1,1
en-pk,1,1
es-ve,1,1
fa-ir,1,1
uz,1,1
ro,1,1
en-PL,1,1
it-tz,1,1
sq-al,1,1
fr-NE,1,1
ar-jo,1,1
zh-mo,1,1
en-ba,1,1
es-419-UY,1,1
uk,1,1
dv-MV,1,1
en-fr,1,1
sk-sk,1,1
es-xl,1,1
ar-TN,1,1
en-ZA,1,1
bi-VU,1,1
nl-SX,1,1