Page,Pageviews
/,1610
/projects/architecture,569
/people,514
/projects/interior,406
/about,375
/projects/architecture/Avasara Academy,337
/projects/product,297
/projects/interior/Home on Marine Drive,275
/projects/interior/Home on Malabar Hill,210
/projects/interior/Home on Altamount Road,174
/projects/product/Wood furniture,172
/projects/architecture/kizikula guest houses,163
/projects/interior/Second Home on Malabar Hill,151
/projects/architecture/Sports Academy,129
/projects/architecture/Villa Uma,126
/projects/interior/Home on Nepean Sea Road,118
/projects/architecture/Farmhouse in Kamshet,107
/credits,90
/projects/architecture/House in Zanzibar,70
/projects/exhibition,69
/projects/product/Casegoods,67
/projects/architecture/A House to Collect Water,63
/projects/product/Rammed earth livingware,43
/projects/exhibition/The Craft of Collaboration,35
/projects/architecture/Mikoko Villas,34
/projects/exhibition/[PRIME]AL - An exhibition on fine jewelry,28
/projects/exhibition/AD Museum,24
/projects/product/Round Cast Table,23
/projects/product/Plywood furniture,22
/projects/exhibition/A School in the Making,19
/projects/product/Steel furniture,18
/projects/product/Prize for Contemporary Craftsmanship,17
/projects/product/Brass Sanitiser Stand,16
/projects/product/Adjacencies,16
/projects/exhibition/Al Falaj: Water Systems of the Gulf's Oases,12
/projects/product/Joined tables,11
/projects/exhibition/Variations in Earth,11
/contact,10
/projects/product/AD50 Design Award,10
/projects/exhibition/The Secret Life of Date Palms,7
/admin/,6
/projects/exhibition/Built Upon,6
/?ssp_iabi=1677068314130,5
/?fbclid=PAAaaQ_7u5Ts64IwoUOe0oMZzMhowrv7WLJMgN7rEQaLGE4aLtumTdU4yeN3w,4
/?fbclid=PAAaZNbonIovoPp0T8ICEMjy8cg9u_yT6SkBxc8VFLesG2lwfC3FrzUO4Z0Zo,3
/projects/interior/Home on Marine Drive?ssp_iabi=1677121939483,3
/projects/interior/Home on Marine Drive?ssp_iabi=1676537582388,3
/projects/interior/null,3
/?fbclid=PAAabbsbDPu88q5IDRk0wPPiji2l9bCIlslDqMo3SmHnQDDAT6RUfX93sHwyY,3
/?fbclid=PAAaa1wfBDNhIwd1hxb7A2nup0leVbTDBv3QhAkdtQarcRhwye-9Inav58Fik,3
/projects/product/Wood furniture?ssp_iabi=1677316435527,3
/?fbclid=PAAaaBs-BL3niNRpM_xzQGcBSSkXEiVclAxmVXQw14_mcWLNL6KTHXRHAEJGg,3
/projects/products/Knobs & Handles,2
/?fbclid=PAAabTgB89x_6YyVwrNLLbceKGvP_TtADl2FySSXKjg99FJnFTwMRIN5ldbmI,2
/projects/casegoods/Handles — Second Collection,2
/?fbclid=PAAaZSSiZcfS0Ntns9xGAS3fFzSsECY897k9RNoLgjcNhytKhawRDC8ZR8q_s,2
/projects/interior/Home on Malabar Hill?ssp_iabi=1677776698692,2
/?fbclid=PAAaajxSznItlr_CRij12Ghl1pmM6pN79GoZW8Z3vvkIyhR4aRoGB5emj0zfI,2
/?fbclid=PAAaa-eLzxdNTomrvL8FzkyvF0y6uUP2rJtOikxZGM_x7CjoQL-Hcs2F4VzDU,2
/?fbclid=PAAabg1aqW-I_7v8h8ZZZeQb9JBdg-tLxEmoxKrOwHcNex4P69zR0S3vnulyk,2
/projects/interior/Home on Marine Drive?ssp_iabi=1677206330641,2
/?fbclid=PAAabNvxxXgqTT2ps7vGkV_4s0MECW3Sn9dH4Fsximfthv4zQXCxzI-yq-YMU,2
/projects/architecture/Sebatu Village House,2
/?fbclid=PAAaZyaH7QP9gMYGkbzRaYSKp_-IBBJbuBoeYWMaiyVSnQ70OPqGNq_X1whEo,2
/?fbclid=PAAaYw_ZTdm0bqRODCdRSvD3OuGVTdarndxQrqZI49rrywVFAShxW0hbaZi2M,2
/projects/interior/Home on Marine Drive?ssp_iabi=1677309787015,2
/projects/interior/Home on Marine Drive?ssp_iabi=1677046871475,2
/?fbclid=PAAabzyC6GPch1MJJZfmg8ubWrlkgzgqNVHMwDVpuqge_xgEx5cv7Jcx_NZkU,2
/?fbclid=PAAaZt1LUkCJdNZunqOwjzA-ptNSke5rNbuxVWBeWSesvSglZz4mF8JN4bj7A,2
/?fbclid=PAAaaykXRDIftkVYkx0AkmV_Iv91HqYp8rhLZtreXB22zjI0ERV1CPt19WvpY,2
/?fbclid=PAAaaZOjdfkbTcHRM_jHW5IarQE3VIfYjP4a7D1YMx4jrbGHSGyO15C0T4lik,2
/projects/interior/Home on Marine Drive?ssp_iabi=1677603871495,2
/?fbclid=PAAabNvxxXgqTT2ps7vGkV_4s0MECW3Sn9dH4Fsximfthv4zQXCxzI-yq-YMU/projects/product/Adjacencies,2
/?fbclid=PAAaZon2wsoeYTREmV74RFjflj0OYo7u-Enk-iMpgX7rw8NydcPXmlCM1l5Us,2
/?fbclid=PAAabe243oyf6RRQtlfQ0yXLmL9BBXxS_WQrZY4PTWfNgpfQsirir34WHu1bg,1
/?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=tc,1
/?fbclid=PAAabirdGDRZ3B_GxIcCQgyMZA0YsT1GgsmCXZPWxnJHr4ceulRkuunXAK0pY/projects/product/Joined tables,1
/?fbclid=PAAaZMQC7_TaN2mSGliCaR0wl5iypjCcrvhMovlcP93Z3DZVTdeDewYkKnm3Y,1
/projects/architecture/Farmhouse in Kamshet?ssp_iabi=1677661011542,1
/?fbclid=PAAaYcFWkN4c_UDFAsanPCMwsD5bLC1f1n-67jsCOhfQ76RevrmRVGa79Uv8k,1
/?fbclid=PAAaa0ts4hXHlmUIOpCmr22503CGQxM6Z2hKWYJ4qIrmnLfDJBKK7OK6W5_xE,1
/?fbclid=PAAaZNbonIovoPp0T8ICEMjy8cg9u_yT6SkBxc8VFLesG2lwfC3FrzUO4Z0Zo/projects/architecture/Sports Academy,1
/?fbclid=PAAaY3pDrB-EhQGzzA3SMqccmSfmaw8IZn_KRIkEf1QGb76tWlBRacCpZFOl8,1
/?fbclid=PAAaZG9Qr3tMwTyxIDownd-MKI1YYKbWaiMtd_1Z1sqwLdEh-xB0Aq-ANluw8,1
/projects/product?ssp_iabi=1677046156378,1
/?fbclid=PAAaZZj2-1hX57cZr2niHFUJNarzRNcrX6c_miom9HvpkTRK_A_Wr_dmgDfqw,1
/?ssp_iabi=1677068314130/projects/product/Plywood furniture,1
/projects/interior/Home on Malabar Hill?ssp_iabi=1677828150696,1
/projects/product/Wood furniture?ssp_iabi=1677334992531,1
/?fbclid=IwAR1PGBQXJYuAclq6bMSuVC59kOl4iD_NgW5A3GfF6UwypulesCJE3Z8Fozc,1
/projects/product/Wood furniture?ssp_iabi=1677268882387,1
/projects/product/Wood furniture?ssp_iabi=1677316375989,1
/?fbclid=IwAR14wldCU42oRifeKbZXLw_pMZZszZer2aCplY0S_HhUamhnVD3ZQAzGsiw,1
/projects/interior/Home on Malabar Hill?ssp_iabi=1677331551379,1
/?fbclid=PAAaZywZ_FvpehBTVTyv01sDepPHHh4puyzwzHq_oIEFjJ1T7Tbn7IiBHSJWg,1
/projects/product/Wood furniture?ssp_iabi=1677247395123,1
/?fbclid=PAAabnQ_1YEGiw_zIqPwof8VqK7wm5PcOBQDQJMVxesHVaYWeSTLqGNrqB4yQ,1
/?fbclid=PAAaZgT5bKDtncvxYvbVaShP1_VIv4CaJZVLfIB9msc0VEj6KS4j6H6Jsv7HY,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677017536156,1
/?fbclid=PAAabn5QkbHi_PQvjXAi-uoIj8DxdrTPE3BS3-8h37nxjy33z8QfHvxK1xQso,1
/?fbclid=PAAaY_iFQuf96yRHwFZq6mxl9hWWFoU9xyIDMVYq7HyPeT4axshlvLWXMi270,1
/?fbclid=PAAaan-R5S71wlJK85umRt0jpXdz4_nZq0RKluBrKpONI760Ba0Wv0EMyr6Aw,1
/?fbclid=PAAaYhc_dlL5AquySqh1FZWiNVv4lb2t5P1j_bngi9lJakBRDUQ7-TMue-Ipw,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677060178203,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677444995492,1
/?fbclid=PAAaa2VamOOzkp4C3Cx_7R6qoA4ibvDc2W0qggZeI7IXMo5651y6ezXBJ8l50,1
/projects/architecture/Kizimkazi Guest Houses,1
/?fbclid=PAAaYIgmSp8ZsivsUxI0LjlzN_bXOVe468447C6b5J6HHccWtl9FZRiRQpnZs,1
/?fbclid=PAAaZB9G37GwWiEo5b-YVCrrdo2bNRZE7ddtVvfkkYRtg-EiNCmNNg4lfjf3c,1
/?fbclid=PAAaaBQteYqj0M35THamToteIAyFVBJkohQngrTsFxLv3esNFO5vMIiAN1brA,1
/?fbclid=PAAaZjaxZrSx30frIlBtpM_Nn1kRdIVKwUWlOsRbNkGzsnc6LDhQaZkV_vs-0,1
/?fbclid=PAAaY_1dcCc6y23Wuj323bpeKdqOzYS9CZ3UpMZsKO9WjWhYbLhpBFwI_IgTU,1
/?fbclid=PAAaaoGPSjk4GtbMdssWLdcKrSOSCbnAd39inD_hS8gLaSXvC7TJbYtZLAHD4,1
/projects/interior/Home on Malabar Hill?ssp_iabi=1677690285228,1
/?fbclid=PAAabbJkAl_IDUQlIdJ2IDR1kyysL444IjQaia19kDHFjuXe5aYI10uHlLUWw,1
/?fbclid=PAAaaWThd4YXvRlZ1qOL_pg-VZa_RQ6Udjb64jyZuVro0_n-XkHvr7oy40IB4,1
/?fbclid=PAAaYO86yKQcs9V3H8lwrW1OhND9NgaiMhvpudC2B8H0ZTFpXV8sAGLhaGNXw,1
/?fbclid=PAAabzf-wotH-0EnHvC_-Mwjscdjht2WdUR6pQHWJG-8ixkpNje7iIC8FkGag,1
/projects/product/Wood furniture?ssp_iabi=1677729402054,1
/projects/interior/Second Home on Malabar Hill?ssp_iabi=1677786655107,1
/?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=sc,1
/?fbclid=PAAaZXQMVX1Jz91CHN6I0PTiNZ8q11QP81UA-jXMoPZeRn0NQOzOkASoxiDX0,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677774136813,1
/?fbclid=PAAabzZsmLuYmp4DEMFc8pc6h8t5lRzJpvJqxzJlVRuY0hHyREzz8iWkrcEv8,1
/?fbclid=PAAaaSCYkwVH7NTuLFBXbJT5Gsf0TtbZO_GpXFJn7MEB1FdNvTlJpCZP2mU-A/projects/interior/Home on Marine Drive,1
/?fbclid=PAAablDCwyujmXuoWCiPSf958ASrAfU1IHaUJuVWWNIWDJqRQ4SwIk3P355ck,1
/projects/product/Wood furniture?ssp_iabi=1677569636643,1
/?fbclid=PAAaYkXP8S7nIW2VB8MedAdP3flnXDeTnQixySiC17qdsTjdB33ZRXZrgmvCk,1
/?fbclid=PAAaZnsvjByHw8RXKHeep4ViTyWSLoMPYXaSPo1OY63vdnCG0JJFz8ohrzBeI,1
/projects/interior/Home on Altamount Road Too,1
/?fbclid=PAAablQFKg9AU0wV8qeAFfSZWQLe4D886skN2MZUJhLLNYTEdPXf9KQT7HmDM,1
/?fbclid=PAAaYdgz-gjzw32CTR6YXpnmaxw7iu6oerrIr1TLx168lRLX5afr8kihrLWAU,1
/?fbclid=PAAaawQ8QvH-Ckrye4jA-hDQkIVHSkSdPLqUAuIrF8iryvVgmxixi2MG1Wuvs,1
/projects/casegoods/Handles — Second Collection?ssp_iabi=1677023784911,1
/?fbclid=PAAaa5XdoXxFnT9J8JZzpCxKN0m3EbGEGxSMaLQT2gWzuYimzmZbRol9hnmUI,1
/?fbclid=PAAaYmunVYo_eBku_mj6yHb5lRN5lILAnXVkHQLP_SAMlELG-ZZWNl6V-djiE,1
/?fbclid=PAAaaSCYkwVH7NTuLFBXbJT5Gsf0TtbZO_GpXFJn7MEB1FdNvTlJpCZP2mU-A/projects/interior/Home on Marine Drive/projects/interior/Home on Altamount Road,1
/projects/product/Wood furniture?ssp_iabi=1677552950673,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677403384082,1
/?fbclid=PAAab5BhbcA2PyvAmWTkWnL5f1taBi2DptdjPSpytueM8UApaThUYfXFIhDzk,1
/?fbclid=PAAaYg0jmgatm7f1uyjuNSGWaC84rbHVwbyNdxruQ87Zucg9VGbh-RBhVHjQg,1
/?fbclid=PAAaYfxOLuTITMYcEvPgzX-XIvUjp-PRNdPkQvmFKbr8PMbModWpaRTxsvnD8,1
/projects/product/Wood furniture?ssp_iabi=1677193131905,1
/?fbclid=PAAaaJfEzSdlQJgTrpySr2SERrsRJVtBEWXdJv5Mm-OFlNI4T-wmwBWfnvPZk,1
/projects/interior/Home on Malabar Hill?ssp_iabi=1677777704189,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677645823808,1
/?fbclid=PAAaa0FXMt8Oi7mbWmGIBkDik0e3hVRstydkQnkDDPAcuv52xeSJsEDFNPe2I,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677615988503,1
/?fbclid=PAAabirdGDRZ3B_GxIcCQgyMZA0YsT1GgsmCXZPWxnJHr4ceulRkuunXAK0pY,1
/?fbclid=PAAaaNMr3HxEMSdgVezHuyhws7Mo3NG8F2zV1EQyWjwf5cYod_oJwxrV9kUlM,1
/?fbclid=PAAaaL6EB_hVk7AgqSD0XOIFPUEKXltND15EHESX1QqKkIcBajiNrssmFO5aQ,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677404316437,1
/projects/product/Wood furniture?ssp_iabi=1677452242257,1
/?fbclid=PAAaa48h75Rq4AkdHS7QqsEFLiZbuLC0224vdm8Lr8VGEjHP8RV5vOMj-E9ZU,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677432904849,1
/?fbclid=PAAaYY3MTt_FphPdrst3HICIx81Wsjm-7SWY373s-298T8S3RITCbrOOWzEZo,1
/?fbclid=PAAaazWpCbj201rcIbZYPWQF2SBt8TEN4ksQ3DG3mAmBMt3DeS83GJ0DFhLBQ,1
/?fbclid=PAAaZBE_W6wcnMi4Fbympj0h_Qz6k0n8YgjY_PlffmTQsZ3gMaVBe8peGA0f0,1
/?fbclid=PAAaaAQNddGLgY7--oI8HWVF6oHq-faVE6_43osZ9oNwdtFT8Fgl9R5c6AT88,1
/?fbclid=PAAaZXgVNdsYKz28h7L7b2KYtr1YxT3N5Fv7nOlsExPcP5Vrk_qLOVvSVPEDU,1
/?fbclid=PAAaaPzdvPMi3zy3d_QgYRErh72lXR5S6-5cSTeZyLA8HV9bhqGx_hAblCoF0,1
/?fbclid=PAAaYk4HrHoGP-3N0Lj92D3QMqzWlEEdeML3wHTJR7cnYnO0b0bpK15y286HY,1
/?ssp_iabi=1677068314130/projects/product/Plywood furniture/projects/exhibition/Variations in Earth,1
/?fbclid=PAAaYrMqVoHyaAvOXCvFYW4Z-XRY3t5NNubq8g37njmlGL6Z5DQoxEXi_tA0s,1
/?fbclid=PAAaaJA5EPnR5hX6QkvUCWNKbXb6_va42hApEMUfPqFsPBER9aNEvgC5aditU,1
/?fbclid=PAAabk2Dqwc4JQqQXxJqQ-MYVDkM5KbiEzxjoq1sP4OAflxH5Z8XrTlF_y0K4,1
/?fbclid=IwAR11mPhruKJLWY9BrJHXTshofH58KoYllcJ05-Mf1vfWUVmZJdgFU-r27iE,1
/?fbclid=PAAaag18BJU105hnv8kvPQaMScYTsPCEq-d_xE5BkEjbs3L64IZeRENC2MOAw,1
/?fbclid=PAAaaSCYkwVH7NTuLFBXbJT5Gsf0TtbZO_GpXFJn7MEB1FdNvTlJpCZP2mU-A,1
/?fbclid=PAAaZWr4v5UNLNAV_uz2gCLb_OUjgnR_6biazIp5OeMqASfMpDxRk4TXf8AXE,1
/?fbclid=IwAR3XNEUXs_SAoBgS-9r8MEkEGgDl1D927rQZvjQfptrZ8kf6V07zHMVE5qg,1
/?fbclid=PAAaYIoJ5lOJzDlpfShzmVLkZwD5ek53MHUXY9cRDOJpczeER3p2sTyLd9MpI,1
/projects/interior/Home on Malabar Hill?ssp_iabi=1677903484658,1
/projects/architecture/House in Hatta,1
/?fbclid=PAAabUvuvGflCJZrCm0z5-Lb7B1mixOm9iuCnRDHJOwZz6kBUlbMeLKnj_WD8,1
/?fbclid=PAAaYcZGt51TQqoEW8V8PPufZo3Vli0T3aNdi-KW0gaNWHJWNZx9RRmcanqsU,1
/?fbclid=PAAaYTUeSFrjoeoQksK2f3z4syUTq5oRR-PjVzJedNkC-loc6pyDYrPw9RU8g,1
/?fbclid=PAAaaaXyWesx_pk8ag1_kSA77tkK7EQ1pwaJnrJ_gCW4sRHqRw9UzlQca8dFo,1
/?fbclid=PAAaZr4ugrFSMhOwXdgoc3uNLHe_ggDBPpIyC4x_w2X-bBN3o1ObFpHcqbi1U,1
/projects/product/Wood furniture?ssp_iabi=1677448563132,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677158516782,1
/projects/product/Wood furniture?ssp_iabi=1677360214075,1
/?fbclid=PAAaZOSAytzyYMcAomlisFiV_HBMtxZtQyhVrwiJmJbmxsqr4VCgoc7aBKnt4,1
/?fbclid=PAAaaXRSGO9twosiL-Q83SWQS-A7KRc-HWuXOoPDkoB-CxfSbef_-OWC2umPM,1
/?fbclid=PAAaZPgsuRX4CzIoLVrQLnp0r9Xu2ycG_DVlfhNEZX8TPL87O6lxF3ZGK-nD4,1
/?fbclid=PAAaZ4TaAUTSv7rUr8iTVqgAPKkojrm-BVTFwPu6aCh90POdI1ngdYYNk1Jf8,1
/?fbclid=PAAaZXt1HgT2AKRI-R0lZYP2PJ5BmmK9EwHhLEgEq-2sm69LZLm5ugv7Vtzn0,1
/?fbclid=PAAabc5J8cpCz1yrg0qyweDXIIoe0he2ETqpfBPA4hepvk1CHNEwiIeeiotuI,1
/?fbclid=IwAR0_KpaQAAsQDU7_tHLUH_t1La99CDfofoTeg6fqsGIFSKLmND1ag0uSnYA,1
/projects/interior/Home on Altamount Road?ssp_iabi=1677402507011,1
/projects/product/Wood furniture?ssp_iabi=1677168981310,1
/projects/interior/Home on Marine Drive?ssp_iabi=1677633642802,1
/projects/product/Wood furniture?ssp_iabi=1676416268683,1
/?fbclid=PAAaaV66KtMtKV2qj1e5VYUAz6vW-UW-MsBnn8anPTVAdSQ9XheK6wMwCp6Jo,1
/projects/product/Wood furniture?ssp_iabi=1677210182701,1
/projects/product/Wood furniture?ssp_iabi=1677651599428,1
/projects/architecture/Avasara Academyzumthor thermes vals,1
/?fbclid=PAAabaSlBsEC83E8U-ENU_b0cd6cA9HnToe-205nZVGDTzD4m3rR8uDemZEFE,1
/?fbclid=PAAabeUIrw2n2ha79EB7GaYiB9kLd5WO6_BJSSIbb2y9GqccARpbVmzq3g0r4,1
/projects/product/Wood furniture?ssp_iabi=1677795009548,1
/?fbclid=PAAaY3IM8Ma3OQ9EU8S9WJ_jNrpHYff7LGaucPK1830_l0rNJXr2uXjSRJvpI,1
/?fbclid=PAAaZPSuPta3t059Miwq7sceJFlsjVGOBjYWsgpyNk9FMRYY0l4px3EVZbIpk,1
/?fbclid=PAAaZpGcD4KbciWdN1TSIEN7fLUgcvA-aoDHRzZWYK1AYOJSiPzF8QDq8evSM,1
/?fbclid=PAAabzXtbjOVsdR6XDXBu-rRQUeDfzljXFwaUZREh4aeqpVH6f5P9oI6lwcMg,1